商品名称,商品价格,评论数,店铺名,其它信息
诺基亚 NOKIA 9 PureView 6GB+128GB 宇宙蓝 蔡司认证 后置5摄 全网通 4G双卡双待,4099.00,1200+条评价,诺基亚手机京东自营旗舰店,无
新款大内存八核小辣椒P60安卓智能手机学生价游戏指纹一体人脸1600W双摄微信八开4000mAh电池 星耀蓝 4G+64G,699.00,400+条评价,广中达官方旗舰店,无
小辣椒 红辣椒7X尊享版 6+64GB 宝石蓝 4000mAh大电池 6.3英寸水滴屏 双面玻璃 微信8开 全网通4G 双卡双待,799.00,2800+条评价,小辣椒手机京东自营官方旗舰店,无
努比亚 nubia 红魔3S电竞游戏手机 8GB+128GB 银色风暴 骁龙855Plus UFS3.0 内置风扇 5000mAh大电池 全面屏,2999.00,9700+条评价,努比亚京东自营旗舰店,无
OPPO Reno 10倍变焦版 高通骁龙855 4800万超清三摄 6GB+128GB 雾海绿 全网通 全面屏拍照智能游戏,3699.00,3.4万+条评价,OPPO京东自营官方旗舰店,无
华为Mate30 手机（5G版可选） 亮黑 全网通(8G+128G)(4G版),4299.00,3400+条评价,掌视界数码旗舰店,无
vivo S1Pro 6GB+128GB 珊瑚红 3200万AI高清自拍 超广角后置三摄拍照手机 移动联通电信全网通4G,1698.00,1.7万+条评价,vivo京东自营官方旗舰店,无
OPPO Reno Ace 8GB+256GB 高达定制版 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G智能游戏,3599.00,5.3万+条评价,OPPO京东自营官方旗舰店,无
realme X青春版 2500万前置摄像头 高通骁龙710 水滴全面屏 4045mAh大电池 全网通6GB+64GB 氮气蓝 真我,1199.00,8.3万+条评价,realme京东自营官方旗舰店,无
vivo iQOO Neo 8GB+128GB 碳纤黑 骁龙845处理器 4500mAh强悍续航游戏手机 22.5W超快闪充 全网通4G,2298.00,13万+条评价,vivo京东自营官方旗舰店,无
诺基亚（NOKIA）105 新 黑色 直板按键 移动联通2G手机 老人手机 学生备用功能机,149.00,63万+条评价,诺基亚手机京东自营旗舰店,无
华为（HUAWEI） 荣耀10青春版 {三期白条免息} 原装正品 手机 幻夜黑 4+64G 全网通,898.00,8200+条评价,京铠玄手机旗舰店,无
